Time,Species,Temperature,Height,Condition
14:03,Fence,33.2,0.0,Overcast
15:15,Fence,30.2,2.0,Overcast
14:07,Fence,31.6,5.0,Overcast
13:53,Fence,37.4,0.0,Overcast
13:53,Fence,35.2,0.0,Overcast
14:03,Fence,36.2,0.0,Overcast
14:08,Fence,35.6,0.0,Overcast
14:50,Fence,31.2,19.0,Overcast
14:02,Fence,35.6,0.0,Overcast
14:50,Side-Blotched,31.6,0.0,Overcast
14:10,Fence,34.4,0.0,Overcast
14:55,Side-Blotched,32.6,10.0,Overcast
14:12,Fence,34.0,0.0,Overcast
14:59,Side-Blotched,32.8,18.0,Overcast
14:20,Side-Blotched,33.0,0.0,Overcast
15:01,Side-Blotched,33.4,5.0,Overcast
14:21,Fence,32.2,0.0,Overcast
15:03,Side-Blotched,32.2,10.0,Overcast
15:22,Side-Blotched,32.2,5.0,Overcast
13:53,Side-Blotched,35.2,0.0,Overcast
13:56,Side-Blotched,36.2,0.0,Overcast
14:04,Side-Blotched,31.4,0.0,Overcast
14:20,Side-Blotched,33.8,16.0,Overcast
14:32,Fence,29.6,11.0,Overcast
14:33,Fence,27.8,102.0,Overcast
14:34,Fence,28.0,67.0,Overcast
14:41,Side-Blotched,34.4,0.0,Overcast
14:45,Fence,30.8,90.0,Overcast
14:51,Fence,32.6,0.0,Overcast
14:55,Fence,31.4,14.0,Overcast
14:58,Fence,32.0,12.0,Overcast
14:16,Side-Blotched,55.6,0.0,Sun
14:18,Side-Blotched,50.0,0.0,Sun
14:19,Side-Blotched,40.0,0.0,Sun
14:28,Side-Blotched,22.0,22.0,Sun
13:45,Side-Blotched,33.6,0.0,Overcast
13:52,Fence,34.8,30.0,Overcast
13:52,Side-Blotched,33.2,30.0,Overcast
15:03,Fence,28.2,0.0,Overcast
13:45,Side-Blotched,35.8,0.0,Overcast
13:53,Side-Blotched,41.6,0.0,Overcast
14:14,Fence,33.6,20.0,Overcast
14:19,Side-Blotched,35.2,0.0,Overcast
14:29,Side-Blotched,33.8,0.0,Overcast
14:32,Side-Blotched,31.6,6.0,Overcast
14:41,Side-Blotched,31.8,0.0,Overcast
15:04,Side-Blotched,33.0,0.0,Overcast
15:18,Side-Blotched,32.2,0.0,Overcast
15:35,Side-Blotched,49.0,0.0,Sun
15:48,Fence,43.8,0.0,Sun
16:26,Fence,41.6,0.0,Sun
16:32,Fence,31.2,0.0,Sun
16:35,Side-Blotched,33.2,0.0,Shade
16:39,Fence,30.8,0.0,Sun
16:41,Fence,33.6,0.0,Shade
14:50,Fence,32.0,0.0,Overcast
13:43,Fence,28.2,0.0,Sun
13:50,Fence,55.2,0.0,Sun
14:13,Fence,58.4,0.0,Sun
